feature,importance
day_of_month,2877
opening_stock,2724
demand_lag_1,2311
wind_speed_kmh,2196
week_of_year,2027
avg_humidity_pct,1982
min_temp_c,1770
max_temp_c,1642
demand_roll_mean_30,1534
demand_lag_14,1271
demand_roll_mean_7,1270
demand_lag_30,1235
demand_lag_7,1194
avg_temp_c_masked,1113
demand_roll_mean_14,1088
base_price,998
price,887
demand_roll_std_14,872
year,856
demand_roll_std_30,824
day_of_week,796
demand_roll_std_7,782
demand_rolling_7_mean,773
demand_rolling_7_std,742
annual_growth_rate,668
month_sin,662
cost,604
price_change_pct,592
day_of_week_sin,582
population_base,543
price_vs_base,540
month,535
storage_capacity_units,516
income_index_base,441
lead_time_days,427
promo_intensity_7d,386
month_cos,287
lead_time_actual,260
day_of_week_cos,239
discount_depth,189
weather_demand_factor,186
min_order_qty,184
is_festival,172
stockout_flag,168
decline_phase_days,145
population_base_location,125
income_growth_rate,124
precipitation_mm_masked,121
storage_capacity_units_location,93
shelf_life_days,85
promo_flag,83
cost_sku,80
income_index_base_location,71
base_price_sku,67
waste_spoiled,49
is_weekend,45
price_to_base,40
decline_phase_days_sku,39
shelf_life_days_sku,38
lead_time_days_sku,36
quarter,36
annual_growth_rate_location,33
min_order_qty_sku,25
cold_storage_available,24
cold_storage_available_location,11
income_growth_rate_location,8
launch_phase_days,0
launch_phase_days_sku,0
days_since_promo,0
